"nodeid","nodeip","timestamp","startDelay","skipDelay","experimentID"
"planetlab2.cis.upenn.edu","158.130.6.253","1421837425771","4342","41491","1"
"planetlab2.cs.purdue.edu","128.10.18.53","1421837427169","3830","43874","1"
"planetlab02.cs.washington.edu","128.208.4.198","1421837426706","6607","39873","1"
"pl4.cs.unm.edu","198.83.85.47","1421837408706","14017","53488","1"
"ricepl-1.cs.rice.edu","128.42.142.41","1421837438306","3299","35456","1"
"planetlab1.tmit.bme.hu","152.66.245.161","1421837420487","3218","53065","1"
"planetlab-01.bu.edu","204.8.155.226","1421837412139","3504","60216","1"
"planetlab2.tsuniv.edu","206.23.240.29","1421837426580","11187","38106","1"
"planetlab3.upc.es","147.83.30.164","1421837430439","2285","45586","1"
"planetlab2.cs.colorado.edu","128.138.207.45","1421837423789","5178","50217","1"
"planetlab2.pop-mg.rnp.br","200.19.159.35","1421837427547","11965","39426","1"
"roam1.cs.ou.edu","129.15.78.30","1421837434313","7421","37917","1"
"pl-node-0.csl.sri.com","192.12.33.100","1421837407203","22462","49618","1"
"planetlab1.unineuchatel.ch","192.42.43.22","1421837602736","4913","54438","1"
"planetlab2.eecs.ucf.edu","132.170.3.33","1421837425515","13069","42162","1"
"planetlab2.cs.aueb.gr","195.251.248.181","1421837422953","11630","47404","1"
"planetlab-3.cs.ucy.ac.cy","194.42.17.121","1421850669292","17192","45552","1"
"planetlab1.citadel.edu","155.225.2.71","1421838383175","5568","57562","1"
"planetlab1.cqupt.edu.cn","202.202.43.198","1421837419899","10009","55680","1"
"planetlab1.sics.se","193.10.64.35","1421837427017","18618","42016","1"
"planetlab5.csee.usf.edu","131.247.2.246","1421837428673","22117","35827","1"
"planetlabtwo.ccs.neu.edu","129.10.120.194","1421837440195","6353","42418","1"
"planetlab-2.man.poznan.pl","150.254.212.148","1421837417673","7206","63719","1"
"planetvs1.informatik.uni-stuttgart.de","129.69.210.96","1421837428996","10151","51155","1"
"planetlab2.ucsd.edu","132.239.17.225","1421837429290","17226","21040","1"
"planetlab1.eecs.wsu.edu","134.121.64.4","1421837419636","7626","64561","1"
"planetlab2.cs.uit.no","129.242.19.197","1421837425383","10699","57707","1"
"planetlab2.acis.ufl.edu","128.227.150.12","1421837424399","13548","56981","1"
"planetlab2.unr.edu","134.197.113.4","1421837426964","15951","52891","1"
"planetlab1.ecs.vuw.ac.nz","130.195.4.68","1421837421506","13577","61738","1"
